collection,variable,type,size_kb_per_event,doc
DST,DST_PFScouting_AXOLoose,bool,0.0001689453125,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_AXONominal,bool,0.0001708984375,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_AXOTight,bool,0.0001689453125,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_AXOVLoose,bool,0.000169921875,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_AXOVTight,bool,0.000169921875,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_CICADALoose,bool,0.0002734375,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_CICADAMedium,bool,0.0002509765625,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_CICADATight,bool,0.00023828125,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_CICADAVLoose,bool,0.0002822265625,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_CICADAVTight,bool,0.0002353515625,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_DatasetMuon,bool,0.0001953125,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_DoubleEG,bool,0.0001689453125,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_DoubleMuon,bool,0.0001708984375,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_JetHT,bool,0.000169921875,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_SingleMuon,bool,0.0001708984375,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_SinglePhotonEB,bool,0.0001748046875,Trigger/flag bit (process: HLT)
DST,DST_PFScouting_ZeroBias,bool,0.0001689453125,Trigger/flag bit (process: HLT)
Dataset,Dataset_ScoutingPFMonitor,bool,0.0001708984375,Trigger/flag bit (process: HLT)
Dataset,Dataset_ScoutingPFRun3,bool,0.00016796875,Trigger/flag bit (process: HLT)
Electron,Electron_charge,int32_t[],0.0009541015625,electric charge
Electron,Electron_cutBasedID_loose,int32_t[],0.0016982421875,RunIIIWinter22 V1 loose cut-based electron ID
Electron,Electron_cutBasedID_medium,int32_t[],0.0017421875,RunIIIWinter22 V1 medium cut-based electron ID
Electron,Electron_cutBasedID_tight,int32_t[],0.0016943359375,RunIIIWinter22 V1 tight cut-based electron ID
Electron,Electron_cutBasedID_veto,int32_t[],0.001572265625,RunIIIWinter22 V1 veto cut-based electron ID
Electron,Electron_eta,float[],0.003298828125,eta
Electron,Electron_mass,float[],0.0020537109375,mass
Electron,Electron_pdgId,int32_t[],0.00095703125,PDG code assigned by the event reconstruction (not by MC truth)
Electron,Electron_phi,float[],0.003318359375,phi
Electron,Electron_pt,float[],0.0042939453125,pt
Event,HLTriggerFinalPath,bool,0.0001640625,Trigger/flag bit (process: HLT)
Event,HLTriggerFirstPath,bool,0.0001640625,Trigger/flag bit (process: HLT)
Event,bunchCrossing,uint32_t,0.0001748046875,bunchCrossing/i
Event,event,uint64_t,0.0010380859375,event/l
