file,label,scope,eta_min,eta_max,pt_min,pt_max,n_events,mean_offset_GeV,std_offset_GeV,sem_offset_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,-3.0,-2.5,0.0,10.0,541,-0.027953798424479658,0.055310961933616946,0.002378003989906479
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,-2.5,-1.5,0.0,10.0,541,-0.13068333782305466,0.12237060600273529,0.005261123277353731
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,-1.5,0.0,0.0,10.0,541,-0.06122433734193113,0.09728482260564375,0.0041826012100678826
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,0.0,1.5,0.0,10.0,541,-0.06218019947111195,0.09320715979191724,0.004007288792754065
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,1.5,2.5,0.0,10.0,541,-0.12851779983342795,0.11480047850107963,0.004935658075272391
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,eta,2.5,3.0,0.0,10.0,541,-0.04024170229524329,0.06803911906381262,0.00292523020658462
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,pt,-3.0,3.0,0.0,0.25,0,nan,nan,0.0
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,pt,-3.0,3.0,0.25,0.5,142,-0.1388421643420424,0.05283368789042365,0.004433704596770905
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,pt,-3.0,3.0,0.5,0.75,541,-0.04951434350926264,0.08365217977409715,0.0035964881157901927
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,pt,-3.0,3.0,0.75,1.0,541,-0.10818226528799423,0.12903963227227908,0.0055478471115332885
