file,label,eta_min,eta_max,pt_min,pt_max,nvtx_center,n_events,mean_offset_GeV,mean_offset_error_GeV
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,42.5,40.0,-0.01525413260969799,0.0034491716317538302
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,47.5,52.0,-0.010520038494947724,0.0014496516599244488
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,52.5,43.0,-0.007753117824904621,0.0018785048532789779
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,57.5,54.0,-0.0077773982462800905,0.002242430133556887
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,62.5,70.0,-0.003361882791588349,0.0022084211049773384
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,67.5,56.0,-0.005656472921665616,0.003723424971922255
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,72.5,30.0,-0.00401916210539639,0.0022611729384291895
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.5,0.75,77.5,29.0,-0.012252221883531532,0.005961423910493585
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,42.5,22.0,-0.027317265831780704,0.007586981825436188
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,47.5,31.0,-0.028560309024948265,0.010922885785241494
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,52.5,26.0,-0.0067531766656499645,0.008985329433948933
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,57.5,31.0,-0.019741916728596532,0.009653512028573261
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,62.5,28.0,-0.007865031865159315,0.00586891138855352
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,67.5,28.0,-0.008447307053886886,0.0048736745652520905
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,72.5,21.0,-0.007596986878308512,0.007739691394855181
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,0.75,1.0,77.5,17.0,-0.028043523321256918,0.028438517570391276
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,42.5,20.0,-0.043341578403487804,0.012155868344725913
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,47.5,13.0,-0.07985916891350196,0.02758348938501689
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,52.5,17.0,-0.0601595545954564,0.028168013359775416
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,57.5,13.0,-0.058261628907460436,0.051352635523098496
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,62.5,27.0,-0.036891030682319845,0.017755897254297024
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,67.5,12.0,-0.015513485918442408,0.012289397469397393
/eos/user/t/tchatzis/reco2pico/CMSSW_15_0_4/src/Reco2Pico/PicoProducer/python/workflows/test_pico_pfoffset.root,ChargedHadrons,-3.0,-2.5,1.0,1.5,72.5,15.0,-0.018915053154341877,0.02160193642990854
